id,base,depth,elevation_basis,source,status,top,width,x,y
E-M,0,4,visualization: floor datum to common frame bottom; east-wall heights provisional,current floor-plan basis; lower-left converted to center,B only,98.5,4,246.5,185.0
E-N,0,4,visualization: floor datum to common frame bottom; east-wall heights provisional,current floor-plan basis; lower-left converted to center,A and B,98.5,4,247.5,251.0
E-S,0,4,visualization: floor datum to common frame bottom; east-wall heights provisional,current floor-plan basis; lower-left converted to center,A and B,98.5,4,247.5,-2.0
N1,0,4,concept column from floor datum to common frame bottom; footing detail unresolved,current floor-plan basis; center coordinates,proposed,98.5,4,19.5,269
N2,0,4,concept column from floor datum to common frame bottom; footing detail unresolved,current floor-plan basis; center coordinates,proposed,98.5,4,211.5,269
S1,0,4,concept column from floor datum to common frame bottom; footing detail unresolved,current floor-plan basis; center coordinates,proposed,98.5,4,148.5,-66
S2,0,4,concept column from floor datum to common frame bottom; footing detail unresolved,current floor-plan basis; center coordinates,proposed,98.5,4,211.5,-66
S3,0,4,concept column from floor datum to common frame bottom; footing detail unresolved,current floor-plan basis; center coordinates,proposed,98.5,4,211.5,-2
W1,0,4,concept column from floor datum to common frame bottom; footing detail unresolved,current floor-plan basis; center coordinates,proposed,98.5,4,-34,-66
W2,0,4,concept column from floor datum to common frame bottom; footing detail unresolved,current floor-plan basis; center coordinates,proposed,98.5,4,-34,69.75
W3,0,4,concept column from floor datum to common frame bottom; footing detail unresolved,current floor-plan basis; center coordinates,proposed,98.5,4,-34,185
W4,0,4,concept column from floor datum to common frame bottom; footing detail unresolved,current floor-plan basis; center coordinates,proposed,98.5,4,-34,269
WB3,0,4,concept column from floor datum to common frame bottom; footing detail unresolved,current floor-plan basis; center coordinates,proposed,98.5,4,-2,185
