case,column,vertical_reaction_lb,note
service40,W1,11331.32396921381,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,W3,9534.753697817998,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,W4,1137.5743882753081,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,S1,421.2983332503237,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,S2,69.35398614309472,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,N2,11948.618081079463,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,S3,12385.28850298408,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,SW0,-2945.5839222905875,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,N1 / U-W,2553.0262057361138,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,W1,11397.59986961488,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,W3,9847.60469829987,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,W4,1341.207387683275,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,S1,409.03342810067437,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,S2,-63.15636751404451,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,N2,13377.990888851142,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,S3,13168.011151327786,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,SW0,-2976.771182895992,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,N1 / U-W,3049.446336211231,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
typical30,W1,7143.739699900159,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
typical30,W3,6050.505317784251,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
typical30,W4,883.422888759962,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
