original_path,current_path,classification,status
report/,report/,controlled project report,current
model/,data/model/,project model data,current
frame-models/,data/frame-models/,COMPAS frame data,current
structural-analysis-v6/,src/structural-analysis-v6/,active structural analysis source,current
draw_elevations.py,src/draw_elevations.py,source utility,current
export_page.py,src/export_page.py,source utility,current
workstation-setup/,src/workstation-setup/,source and workstation setup,current
structural-analysis-v6/results/,viz/structural-analysis/,generated structural visualizations,current
outbuilding-design/,studies/20260907.01-outbuilding/,versioned study,current
combined-frame/,studies/20260907.02-combined-frame/,versioned study,current
structural-study/,studies/20260908.01-structural-design/,versioned study,current
structural-analysis-v2/,studies/20260908.02-structural-analysis-v2/,versioned study,current
structural-analysis-v3/,studies/20260908.03-structural-analysis-v3/,versioned study,current
structural-analysis-v4/,studies/20260909.01-structural-analysis-v4/,versioned study,current
structural-analysis-v5/,studies/20260909.02-structural-analysis-v5/,versioned study,current
construction-sequence-study/,studies/20260909.03-construction-sequence/,versioned study,current
roof-first-feasibility/,studies/20260909.04-roof-first-feasibility/,versioned study,current
loading-door-study/,studies/20260909.05-loading-door/,versioned study,current
optimization/,studies/20260911.01-structural-optimization/,versioned study,current
roof-options/,studies/20260915.01-roof-options/,versioned study,current
east-wall-study/,studies/20260915.02-east-wall/,versioned study,current
solar-study/,studies/20260915.03-solar/,versioned study,current
floor-plan-setbacks/,studies/20260915.04-floor-plan-setbacks/,versioned study,current
stair-study/,studies/20260915.05-stairs/,versioned study,current
roof-studies/,studies/20260916.01-roof/,versioned study,current
compas-study/,studies/20260917.01-compas-frame/,versioned study,current
loft-span-study/,studies/20260917.02-loft-span/,versioned study,current
beam-design/,studies/20260918.01-beam-design/,versioned study,current
cabinet-study/,studies/20260919.01-cabinet-frame/,versioned study,current
joist-hanger-study/,studies/20260921.01-joist-hangers/,versioned study,current
site-renderings/,render/20260907.01-site-concepts/,render package,current
model-renders/,render/20260907.02-garage-model/,render package,current
existing-site/,render/20260908.01-existing-site/,render package,current
backyard-blender/,render/20260908.02-backyard-existing/,render package,current
blender-render/,render/20260908.03-garage-site/,render package,current
backyard-proposal/,render/20260910.01-backyard-proposal/,render package,current
backyard-current/,render/20260916.01-backyard-current/,render package,current
.venv/,archive/.venv/,local Python environment,archived
.claude/,archive/.claude/,local tool configuration,archived
wiki-publish/public/garage/,public/,static site for garage.busboom.org,current
wiki-publish/,archive/wiki-publish/,publication source and non-garage mirror,archived
COST-ESTIMATE.md,archive/COST-ESTIMATE.md,superseded loose note,archived
EW-TRUSS-PROCUREMENT.md,archive/EW-TRUSS-PROCUREMENT.md,superseded loose note,archived
Canvas 1.png; Canvas 1.svg,archive/,loose concept image,archived
Roof Profile.png; Roof Profile.svg,archive/,loose concept image,archived
