document_id,section,title,status,discipline,required_for,authoritative_source,report_path,working_source,last_verified,notes
CTRL-001,00,Master report index,draft,Project controls,All issues,Project record,00-report-index.md,,2026-09-15,Update whenever controlled content or status changes
CTRL-002,00,Document requirements,draft,Project controls,All issues,Project record,00-project-controls/document-requirements.md,,2026-09-15,Content specification for full document set
CTRL-003,00,Decision log,draft,Project controls,All issues,Owner and design-team decisions,00-project-controls/decision-log.md,,2026-09-15,Add only adopted decisions
CTRL-004,00,Assumptions register,draft,Project controls,All issues,Project record,00-project-controls/assumptions-register.md,,2026-09-15,Close assumptions with documented evidence
CTRL-005,00,Open items register,draft,Project controls,All issues,Project record,00-project-controls/open-items.md,,2026-09-15,Track design-controlling unknowns
DEF-001,01,Owner project brief,planned,Architectural,Design development,Owner,01-project-definition/project-brief.md,,,Define legal use scope and performance goals
DEF-002,01,Basis of design,planned,Multidiscipline,Design development,Coordinated design team,01-project-definition/basis-of-design.pdf,,,Freeze controlling geometry criteria and systems
EX-001,02,Boundary and topographic survey,planned,Survey,Permit and construction,Licensed surveyor,02-existing-conditions/boundary-topographic-survey.pdf,,,Must show utilities trees grades and improvements
EX-002,02,Measured existing-condition drawings,planned,Architectural,Design development,Field survey,02-existing-conditions/existing-condition-drawings.pdf,../data/model/garage.FCStd,,Working CAD is not a field-certified survey
EX-003,02,Existing structural condition assessment,planned,Structural,Structural design,Licensed structural engineer,02-existing-conditions/structural-condition-assessment.pdf,,,Include slab walls foundations roof and prior lofts
EX-004,02,Existing photo log,planned,Architectural,Design development,Field photographs,02-existing-conditions/photo-log.pdf,../render/20260908.01-existing-site/references/,,Key photos to surveyed plan
EX-005,02,Utility and overhead-line exhibit,planned,Survey/Electrical,Design development,Survey and utility records,02-existing-conditions/utility-exhibit.pdf,,,Include clearances and service equipment
EX-006,02,Tree and vegetation inventory,planned,Site/Arborist,Construction planning,Survey and arborist field review,02-existing-conditions/tree-inventory.pdf,../render/20260908.01-existing-site/site-with-trees.png,,Determine public/private status and protection
LAND-001,03,Parcel zoning and overlay report,planned,Planning,Design development,City parcel and zoning records,03-land-use-and-permitting/parcel-zoning-overlay-report.pdf,,,Verify exact address/APN/base zone/overlays
LAND-002,03,Setback height FAR and lot coverage analysis,planned,Planning/Architectural,Design freeze,Survey and Municipal Code,03-land-use-and-permitting/development-regulations.pdf,,,Owner-provided 5-ft setback is unverified
LAND-003,03,Permit and agency matrix,planned,Architectural,Permit planning,City/utility requirements,03-land-use-and-permitting/permit-matrix.md,,,Include coastal determination and PV/ESS
LAND-004,03,Permit history and existing legal status,planned,Planning,Permit planning,City permit records,03-land-use-and-permitting/permit-history.pdf,,,Reconcile prior garage and loft work
LAND-005,03,Setbacks retained garage and proposed storage roof,draft,Planning/Architectural,Design development and City interpretation,SDMC official GIS City bulletins and owner statements,03-land-use-and-permitting/setbacks-and-roof-findings.md,September 2026 research; local sources listed in document,2026-09-15,Revision 0; editable Markdown research record; no permit approval or certified survey
GEO-001,04,Geotechnical investigation or documented waiver basis,planned,Geotechnical,Foundation design,Licensed geotechnical professional/City criteria,04-geotechnical-and-foundations/geotechnical-report.pdf,,,Need determined from parcel hazards soil and field conditions
GEO-002,04,Foundation design criteria,planned,Geotechnical/Structural,Structural design,Geotechnical report and structural calculations,04-geotechnical-and-foundations/foundation-criteria.pdf,,,Include bearing lateral uplift settlement and corrosion
ARCH-001,05,Selected architectural design narrative,planned,Architectural,Design freeze,Owner and architect,05-architectural-design/design-narrative.md,,,Separate adopted design from alternatives
ARCH-002,05,Architectural drawing set,planned,Architectural,Permit/construction,Coordinated CAD and survey,05-architectural-design/architectural-drawings.pdf,../studies/20260915.01-roof-options/south-post-solar-clerestory.pdf,,Plans roof plan elevations sections details schedules
ARCH-003,05,Architectural editable model,planned,Architectural,Design coordination,Coordinated CAD,05-architectural-design/garage-proposed.FCStd,../studies/20260911.01-structural-optimization/exposed-frame/Garage-Exposed-Steel.FCStd,,Current candidate requires geometry reconciliation
ARCH-004,05,Architectural exchange model,planned,Architectural,Design coordination,Coordinated CAD,05-architectural-design/garage-proposed.step,../studies/20260911.01-structural-optimization/exposed-frame/Garage-Exposed-Steel.step,,Export from accepted native model
ARCH-005,05,Selected renderings,planned,Architectural,Owner/design review,Accepted model,05-architectural-design/renderings.pdf,../studies/20260911.01-structural-optimization/exposed-frame/01-southwest.png,,Illustrative only
ARCH-006,05,Combined floor plan study,draft,Architectural/Structural,Owner/design review,Owner-directed study; sources in study README,05-architectural-design/floor-plan-study/floor-plan-study.pdf,../studies/20260915.04-floor-plan-setbacks/draw_floor_plan_study.py,2026-09-15,Revision 4; optional east-wall framing; prior duplicate/history files removed per DEC-011; SHA256 79721362af3c17cfa34201010cfad8daf4fb0dde67fea54128d5a54be56a869b
ARCH-006-A01,05,floor-plan-study.png,draft,Architectural/Structural,Owner/design review,Owner-directed study; sources in study README,05-architectural-design/floor-plan-study/floor-plan-study.png,../studies/20260915.04-floor-plan-setbacks/draw_floor_plan_study.py,2026-09-15,Revision 4; optional east-wall framing; prior duplicate/history files removed per DEC-011; SHA256 c95f31b4044071f40885d2d0f8485362c1d7308848087c1fbc86cc608e383e40
