member,group,material,section,section_source,length_in,weight_lb,area_in2,Iz_in4,unbraced_in,slenderness_KLr,dcr,governing_mode,governing_combination,axial_lb,moment_strong_lbin,shear_lb,check_basis,flags,action,removal_verdict,removal_effect,proposed_section,proposed_saving_lb
A.clerestory.head,AssumedRoofBeam,steel,HSS6X6X1/4,HSS6X6X1/4,245.5,363.7,5.224,28.568,49.1,21.0,0.298,H1-1b combined axial + flexure,C3 1.2D+1.6Lr+1.0L,4544.0,141111.0,-3511.0,AISC 360-16 LRFD,,assumed,overloads,T-N upper east jamb goes 0.515 -> 3.804,HSS6X6X1/4,0.0
A.purlin.1,AssumedRoofPurlin,steel,HSS3X3X1/8,HSS3X3X1/8,183.0,67.8,1.306,1.786,183.0,157.0,0.656,flexure,C3 1.2D+1.6Lr+1.0L,-189.0,40389.0,1331.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
A.purlin.2,AssumedRoofPurlin,steel,HSS3X3X1/8,HSS3X3X1/8,183.0,67.8,1.306,1.786,183.0,157.0,0.566,flexure,C3 1.2D+1.6Lr+1.0L,352.0,35505.0,1291.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
A.purlin.3,AssumedRoofPurlin,steel,HSS3X3X1/8,HSS3X3X1/8,183.0,67.8,1.306,1.786,183.0,157.0,0.578,flexure,C3 1.2D+1.6Lr+1.0L,267.0,37344.0,1312.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
A.purlin.4,AssumedRoofPurlin,steel,HSS3X3X1/8,HSS3X3X1/8,183.0,67.8,1.306,1.786,183.0,157.0,0.691,flexure,C3 1.2D+1.6Lr+1.0L,-149.0,43976.0,1366.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
B2 future floor beam,LoftSteel,steel,W8X24,W8X24,245.5,492.9,7.08,82.7,28.6,18.0,0.397,flexure,C2 1.2D+1.6L+0.5Lr,-245.0,-387931.0,729.0,AISC 360-16 LRFD,,keep,overloads,Wood joist 0-0 goes 0.683 -> 1.963,W8X24,0.0
BR-N-ground-1,Bracing,steel,HSS2X2X1/8,HSS2X2X1/8,131.9,31.5,0.841,0.487,66.0,119.0,0.576,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],-5255.0,106.0,-5.0,AISC 360-16 LRFD,,downsize,unstable,removing this member leaves a mechanism: Exception: Unstable node(s). See console output for details.,HSS1-1/2X1-1/2X1/8,8.7
BR-N-ground-2,Bracing,steel,HSS2-1/4X2-1/4X1/8,HSS2-1/4X2-1/4X1/8,131.9,35.8,0.957,0.713,66.0,87.0,0.473,H1-1a combined axial + flexure,C5 0.9D+1.0W [WX-.ni],-5318.0,-6057.0,-88.0,AISC 360-16 LRFD,,downsize,overloads,BR-N-ground-1 goes 0.576 -> 4.357,HSS2X2X1/8,4.3
BR-R-cap-1,Bracing,steel,HSS3X3X3/16,HSS3X3X3/16,261.3,140.2,1.893,2.464,130.6,172.0,0.118,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],1200.0,-2545.0,1.0,AISC 360-16 LRFD,,downsize,unstable,removing this member leaves a mechanism: Exception: Unstable node(s). See console output for details.,HSS2X2X1/8,77.9
BR-R-cap-2,Bracing,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,261.3,45.1,0.609,0.188,130.6,172.0,0.617,H1-1a combined axial + flexure,C5 0.9D+1.0W [WY-.pi],-3058.0,2361.0,-32.0,AISC 360-16 LRFD,,enlarge,overloads,W.square.brace goes 0.978 -> 1.122,HSS2X2X1/8,-17.2
BR-R-main-1,Bracing,steel,HSS2-1/4X2-1/4X1/8,HSS2-1/4X2-1/4X1/8,260.7,70.8,0.957,0.713,130.4,151.0,0.288,H1-1a combined axial + flexure,C5 0.9D+1.0W [WX+.pi],-2127.0,-1489.0,-4.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
BR-R-main-2,Bracing,steel,HSS2X2X1/8,HSS2X2X1/8,260.7,62.2,0.841,0.487,130.4,171.0,0.451,H1-1a combined axial + flexure,C5 0.9D+1.0W [WX-.ni],-1702.0,1484.0,25.0,AISC 360-16 LRFD,,keep,overloads,BR-R-main-1 goes 0.288 -> 1.611,,
BR-S-1,Bracing,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,127.4,22.0,0.609,0.188,63.7,115.0,0.316,H1-1a combined axial + flexure,C5 0.9D+1.0W [WX+.pi],-3155.0,111.0,4.0,AISC 360-16 LRFD,,keep,unstable,removing this member leaves a mechanism: Exception: Unstable node(s). See console output for details.,,
